id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn
PW010157,01,성아자동차공업사,제주특별자치도 제주시 한림읍 한수풀로 127-3,24시간 이용가능,Y,파워큐브,1833-8017,02,33.4220649328,126.27543722
PW010157,02,성아자동차공업사,제주특별자치도 제주시 한림읍 한수풀로 127-3,24시간 이용가능,Y,파워큐브,1833-8017,02,33.4220649328,126.27543722
PW010265,01,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,09:00~18:00,Y,파워큐브,1833-8017,02,33.287952320089,126.2813226142
PW010265,02,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,09:00~18:00,Y,파워큐브,1833-8017,02,33.287952320089,126.2813226142
PW010265,03,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,09:00~18:00,Y,파워큐브,1833-8017,02,33.287952320089,126.2813226142
PW010265,04,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,09:00~18:00,Y,파워큐브,1833-8017,02,33.287952320089,126.2813226142
PW010265,05,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,09:00~18:00,Y,파워큐브,1833-8017,02,33.287952320089,126.2813226142
PW010265,06,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,09:00~18:00,Y,파워큐브,1833-8017,02,33.287952320089,126.2813226142
PW010369,01,광치기흑돼지,제주특별자치도 서귀포시 성산읍 일출로 86,09:00~18:00,Y,파워큐브,1833-8017,02,33.450036165768,126.9215366590
PW010369,02,광치기흑돼지,제주특별자치도 서귀포시 성산읍 일출로 86,09:00~18:00,Y,파워큐브,1833-8017,02,33.450036165768,126.9215366590
