시도,시군구,읍면동,업종,연령대,성별,날짜,이용자수,이용횟수,이용액
제주도,제주시,읍면,식음료,60대이상,남,201811,2925,4609,186111210
제주도,제주시,읍면,식음료,50대,여,201811,4723,6899,240078310
제주도,제주시,읍면,식음료,50대,남,201811,5713,9288,356810973
제주도,제주시,읍면,식음료,40대,여,201811,6158,9455,298056540
제주도,제주시,읍면,식음료,40대,남,201811,6952,11342,392566214
제주도,제주시,읍면,식음료,30대,여,201811,9362,14760,394929634
제주도,제주시,읍면,식음료,30대,남,201811,9064,14475,404826829
제주도,제주시,읍면,식음료,20대미만,여,201811,114,158,2534840
제주도,제주시,읍면,식음료,20대미만,남,201811,115,150,2548120
제주도,제주시,읍면,식음료,20대,여,201811,9684,15593,358033110
제주도,제주시,읍면,식음료,20대,남,201811,5864,9068,216009620
제주도,제주시,읍면,숙박,60대이상,여,201811,148,206,18922196
제주도,제주시,읍면,숙박,60대이상,남,201811,301,386,44923431
제주도,제주시,읍면,숙박,50대,여,201811,395,498,52196567
제주도,제주시,읍면,숙박,50대,남,201811,540,712,71525839
제주도,제주시,읍면,숙박,40대,여,201811,503,679,63882175
제주도,제주시,읍면,숙박,40대,남,201811,630,818,74277428
제주도,제주시,읍면,숙박,30대,여,201811,571,712,60272230
제주도,제주시,읍면,숙박,30대,남,201811,621,867,63106388
제주도,제주시,읍면,숙박,20대미만,여,201811,3,3,14350
제주도,제주시,읍면,숙박,20대미만,남,201811,19,29,488700
제주도,제주시,읍면,숙박,20대,여,201811,409,473,32483308
제주도,제주시,읍면,숙박,20대,남,201811,293,338,20086625
제주도,제주시,읍면,쇼핑,60대이상,여,201811,1064,2366,56645180
제주도,제주시,읍면,쇼핑,60대이상,남,201811,1769,4061,82172640
제주도,제주시,읍면,쇼핑,50대,여,201811,2188,4412,96865300
제주도,제주시,읍면,쇼핑,50대,남,201811,3743,8728,150715110
제주도,제주시,읍면,쇼핑,40대,여,201811,2990,5987,104246125
제주도,제주시,읍면,쇼핑,40대,남,201811,5188,12636,199274640
제주도,제주시,읍면,쇼핑,30대,여,201811,4005,7305,109015610
제주도,제주시,읍면,쇼핑,30대,남,201811,5703,12355,162917020
제주도,제주시,읍면,쇼핑,20대미만,여,201811,85,124,725200
제주도,제주시,읍면,쇼핑,20대미만,남,201811,167,328,2181610
제주도,제주시,읍면,쇼핑,20대,여,201811,3945,7308,74999572
제주도,제주시,읍면,쇼핑,20대,남,201811,3851,8608,84263445
제주도,제주시,읍면,소매,60대이상,여,201811,689,845,51757510
제주도,제주시,읍면,소매,60대이상,남,201811,720,856,55204498
제주도,제주시,읍면,소매,50대,여,201811,1200,1440,73012322
제주도,제주시,읍면,소매,50대,남,201811,1136,1388,65020178
제주도,제주시,읍면,소매,40대,여,201811,1219,1458,49145006
제주도,제주시,읍면,소매,40대,남,201811,1237,1542,54908422
제주도,제주시,읍면,소매,30대,여,201811,1617,1882,50713263
제주도,제주시,읍면,소매,30대,남,201811,1294,1534,43357508
제주도,제주시,읍면,소매,20대미만,여,201811,117,158,1812290
제주도,제주시,읍면,소매,20대미만,남,201811,158,213,1907050
제주도,제주시,읍면,소매,20대,여,201811,1914,2215,47366180
제주도,제주시,읍면,소매,20대,남,201811,912,1058,26539256
제주도,제주시,읍면,문화/레져,60대이상,여,201811,683,882,65580870
제주도,제주시,읍면,문화/레져,60대이상,남,201811,1356,1878,264295268
제주도,제주시,읍면,문화/레져,50대,여,201811,1555,1977,125770083
제주도,제주시,읍면,문화/레져,50대,남,201811,2264,2888,310818880
제주도,제주시,읍면,문화/레져,40대,여,201811,1854,2417,107854265
